timestamps,TP9,AF7,AF8,TP10
1714655704.631,-31.250,-41.504,-32.227,-39.551
1714655704.635,-31.250,-36.133,-26.855,-37.598
1714655704.639,-26.855,-33.691,-27.344,-36.621
1714655704.643,-25.391,-33.691,-30.762,-34.180
1714655704.647,-34.180,-39.551,-34.668,-41.992
1714655704.651,-36.133,-44.434,-30.762,-46.387
1714655704.655,-30.762,-41.504,-29.785,-39.062
1714655704.658,-20.996,-38.574,-31.738,-31.738
1714655704.662,-17.090,-40.527,-24.902,-27.344
1714655704.666,-23.438,-43.457,-25.391,-30.273
1714655704.670,-33.203,-41.504,-27.344,-30.762
1714655704.674,-29.785,-37.109,-29.297,-28.809
1714655704.676,-24.414,-36.133,-30.273,-30.273
1714655704.680,-18.066,-37.109,-28.809,-29.297
1714655704.684,-17.090,-36.133,-33.203,-26.855
1714655704.688,-32.715,-39.551,-36.621,-31.738
1714655704.692,-40.527,-45.410,-38.086,-45.410
1714655704.696,-38.574,-40.527,-37.109,-50.293
1714655704.700,-36.133,-38.574,-38.086,-44.922
1714655704.703,-35.645,-42.480,-44.922,-40.039
1714655704.707,-35.156,-44.922,-44.922,-41.016
1714655704.711,-30.762,-41.992,-39.062,-40.039
1714655704.715,-33.691,-39.062,-37.109,-42.480
1714655704.719,-42.969,-39.551,-34.180,-48.340
1714655704.722,-44.434,-40.039,-32.227,-47.363
1714655704.726,-45.898,-39.062,-32.227,-41.016
1714655704.730,-47.363,-43.457,-35.645,-40.527
1714655704.734,-41.992,-45.410,-41.992,-40.039
1714655704.738,-38.086,-45.898,-38.574,-38.574
1714655704.742,-40.527,-38.086,-33.203,-38.086
1714655704.746,-33.203,-34.180,-35.645,-38.574
1714655704.749,-28.320,-40.039,-38.086,-37.109
1714655704.753,-37.598,-42.969,-36.133,-32.227
1714655704.757,-55.176,-48.828,-34.180,-35.645
1714655704.761,-53.711,-43.945,-33.691,-36.133
1714655704.765,-46.875,-43.945,-31.250,-37.598
1714655704.767,-60.059,-48.828,-35.156,-47.363
1714655704.771,-57.617,-45.410,-36.621,-47.363
1714655704.775,-45.898,-47.363,-34.668,-46.387
1714655704.779,-41.992,-41.992,-32.227,-42.969
1714655704.783,-39.551,-36.621,-26.855,-38.574
1714655704.787,-41.504,-39.551,-25.391,-40.527
1714655704.791,-44.434,-40.039,-31.250,-40.527
1714655704.794,-46.387,-42.969,-37.598,-41.504
1714655704.798,-33.691,-42.969,-36.133,-36.133
1714655704.802,-23.926,-33.691,-28.809,-30.762
1714655704.806,-34.668,-33.203,-30.762,-39.551
1714655704.810,-39.062,-41.016,-36.621,-47.363
1714655704.811,-35.156,-41.992,-35.645,-44.922
1714655704.815,-30.762,-35.645,-33.691,-40.527
1714655704.819,-27.344,-27.344,-32.715,-35.645
1714655704.823,-20.996,-30.273,-33.203,-33.691
1714655704.827,-25.879,-36.133,-29.297,-38.086
1714655704.831,-27.344,-30.762,-26.855,-36.133
1714655704.835,-26.367,-32.227,-30.762,-30.273
1714655704.838,-32.715,-36.621,-33.691,-33.203
1714655704.842,-34.668,-34.180,-32.227,-37.109
1714655704.846,-28.320,-34.180,-27.832,-39.062
1714655704.850,-34.668,-36.621,-31.738,-41.992
1714655704.854,-40.527,-34.180,-34.668,-41.992
1714655704.856,-42.969,-34.668,-35.645,-47.852
1714655704.860,-42.969,-27.344,-31.250,-47.852
1714655704.864,-43.945,-24.902,-26.855,-43.945
1714655704.868,-39.551,-27.344,-33.691,-46.875
1714655704.872,-26.855,-23.926,-37.109,-45.898
1714655704.876,-34.668,-22.949,-33.691,-45.898
1714655704.880,-33.691,-29.297,-31.738,-41.992
1714655704.883,-28.809,-34.668,-28.809,-33.203
1714655704.887,-33.691,-36.133,-29.785,-31.738
1714655704.891,-32.715,-38.086,-30.273,-32.227
1714655704.895,-32.715,-34.668,-24.414,-26.855
1714655704.899,-41.992,-34.668,-27.832,-35.156
1714655704.901,-46.875,-38.574,-36.133,-43.945
1714655704.905,-44.922,-38.574,-37.598,-43.945
1714655704.909,-39.551,-33.203,-36.621,-42.969
1714655704.913,-26.855,-31.250,-37.109,-34.668
1714655704.917,-17.578,-33.691,-37.109,-31.738
1714655704.921,-27.832,-26.367,-31.250,-31.250
1714655704.925,-32.227,-31.250,-28.809,-31.738
1714655704.928,-26.855,-36.621,-34.668,-24.902
1714655704.932,-25.879,-34.668,-36.133,-20.508
1714655704.936,-28.320,-30.762,-36.621,-30.273
1714655704.940,-34.668,-32.227,-38.574,-41.504
1714655704.944,-36.621,-36.133,-35.156,-44.434
1714655704.946,-28.320,-29.297,-36.133,-41.992
1714655704.950,-23.926,-24.902,-35.645,-35.156
1714655704.954,-30.762,-32.227,-31.738,-37.598
1714655704.958,-38.086,-32.715,-30.273,-40.527
1714655704.962,-40.039,-28.809,-29.785,-37.109
1714655704.966,-35.156,-25.879,-32.227,-41.016
1714655704.970,-31.738,-31.738,-40.039,-43.945
1714655704.973,-29.297,-29.785,-40.039,-37.598
1714655704.977,-35.645,-27.344,-37.109,-42.969
1714655704.981,-43.457,-30.762,-35.156,-51.758
1714655704.985,-42.480,-30.273,-32.715,-47.852
1714655704.989,-37.598,-27.832,-33.203,-39.551
1714655705.007,-42.480,-33.203,-35.645,-45.410
1714655705.011,-47.363,-38.574,-37.109,-50.293
1714655705.015,-39.551,-38.086,-38.574,-41.016
1714655705.019,-35.156,-33.203,-32.715,-35.156
1714655705.023,-33.203,-29.297,-31.250,-39.551
1714655705.027,-28.320,-23.438,-34.180,-43.457
1714655705.031,-25.391,-21.484,-33.691,-43.457
1714655705.034,-36.133,-26.855,-34.668,-41.504
1714655705.038,-36.133,-25.879,-34.668,-39.062
1714655705.042,-33.691,-29.785,-32.227,-40.039
1714655705.046,-33.203,-27.344,-33.203,-36.621
1714655705.050,-35.156,-18.066,-31.738,-33.691
1714655705.051,-52.734,-21.973,-35.645,-43.945
1714655705.055,-57.617,-21.484,-41.504,-46.875
1714655705.059,-45.410,-16.113,-36.133,-43.945
1714655705.063,-38.574,-10.742,-32.715,-46.875
1714655705.067,-41.504,-15.625,-36.621,-50.781
1714655705.071,-46.387,-17.578,-33.691,-49.316
1714655705.075,-37.598,-15.625,-26.367,-39.062
1714655705.078,-37.109,-21.484,-25.879,-40.039
1714655705.082,-40.039,-20.996,-28.320,-50.293
1714655705.086,-38.574,-19.531,-27.832,-50.781
1714655705.090,-38.086,-17.090,-22.461,-41.504
1714655705.094,-35.645,-19.531,-24.902,-33.691
1714655705.097,-37.598,-24.902,-27.344,-37.598
1714655705.101,-32.227,-18.066,-25.879,-39.062
