timestamps,TP9,AF7,AF8,TP10
1714719738.044,-1000.000,-30.762,-51.758,-902.832
1714719738.048,255.371,-15.137,-45.410,410.645
1714719738.052,-901.367,-13.672,-39.062,-923.828
1714719738.056,905.762,-25.391,-35.645,910.156
1714719738.060,970.703,-35.156,-33.691,974.121
1714719738.064,983.398,-29.297,-31.738,980.469
1714719738.068,895.020,-32.227,-35.645,899.414
1714719738.071,-911.133,-42.480,-39.551,-908.691
1714719738.075,535.156,-46.875,-33.203,458.008
1714719738.079,-900.391,-64.941,-40.527,-930.664
1714719738.083,-1000.000,-53.711,-51.758,-1000.000
1714719738.087,-945.801,-34.180,-42.480,-952.637
1714719738.088,-1000.000,-41.504,-29.785,-1000.000
1714719738.092,-1000.000,-48.828,-33.691,-994.141
1714719738.096,-938.477,-39.551,-38.574,-949.707
1714719738.100,-1000.000,-35.645,-34.668,-1000.000
1714719738.104,-211.914,-31.738,-30.762,-115.234
1714719738.108,-958.008,-15.137,-24.414,-942.871
1714719738.112,951.172,-27.344,-25.391,941.406
1714719738.115,941.895,-47.363,-30.762,949.219
1714719738.119,981.934,-38.086,-26.855,982.910
1714719738.123,938.965,-31.738,-20.508,929.199
1714719738.127,958.008,-34.180,-22.949,991.211
1714719738.131,-984.375,-34.180,-28.320,898.438
1714719738.133,-243.652,-53.223,-31.250,-402.344
1714719738.137,-1000.000,-52.734,-40.039,-1000.000
1714719738.141,-939.453,-31.250,-41.504,-941.406
1714719738.145,-1000.000,-25.391,-29.297,-1000.000
1714719738.149,-1000.000,-37.598,-25.879,-1000.000
1714719738.153,-927.734,-39.062,-30.762,-930.664
1714719738.157,-1000.000,-37.109,-30.273,-1000.000
1714719738.160,-426.758,-26.855,-28.809,-382.812
1714719738.164,955.566,-8.301,-29.297,970.703
1714719738.168,988.281,-23.926,-30.762,981.934
1714719738.172,924.316,-34.668,-33.203,928.711
1714719738.176,980.957,-35.156,-35.645,981.934
1714719738.194,969.238,-35.156,-29.297,964.355
1714719738.198,905.762,-32.715,-25.879,916.016
1714719738.202,-893.066,-26.367,-28.320,-907.227
1714719738.206,187.988,-36.621,-32.715,103.516
1714719738.210,-1000.000,-45.410,-36.133,-1000.000
1714719738.214,-984.375,-24.414,-30.273,-974.609
1714719738.218,-973.145,-24.414,-32.227,-979.004
1714719738.221,-1000.000,-28.809,-34.180,-1000.000
1714719738.225,-957.520,-31.738,-32.715,-952.148
1714719738.229,-1000.000,-46.875,-34.668,-1000.000
1714719738.233,-950.195,-36.621,-32.227,-842.773
1714719738.237,395.508,-10.254,-36.133,503.418
1714719738.239,-910.645,-16.113,-36.621,-932.129
1714719738.243,902.832,-29.297,-37.109,909.180
1714719738.247,976.074,-32.227,-42.480,977.539
1714719738.251,972.168,-23.926,-38.574,972.168
1714719738.255,901.855,-26.855,-34.668,904.297
1714719738.259,-892.578,-27.344,-37.598,-893.066
1714719738.263,245.605,-43.945,-41.016,232.422
1714719738.266,-1000.000,-62.012,-41.016,-1000.000
1714719738.270,-993.652,-43.457,-33.691,-991.699
1714719738.274,-968.750,-39.551,-30.762,-969.727
1714719738.278,-1000.000,-41.504,-38.086,-1000.000
1714719738.282,-1000.000,-41.016,-38.086,-1000.000
1714719738.283,-937.500,-39.551,-37.598,-939.453
1714719738.287,-1000.000,-37.598,-44.922,-1000.000
1714719738.291,-220.215,-22.461,-42.969,-208.984
1714719738.295,-960.449,-16.113,-35.156,-958.984
1714719738.299,952.148,-25.391,-36.133,952.148
1714719738.303,940.918,-28.320,-35.156,942.871
1714719738.307,978.027,-38.086,-30.273,981.934
1714719738.310,952.637,-44.922,-33.691,940.918
1714719738.314,931.152,-38.086,-36.133,963.379
1714719738.318,-924.805,-31.738,-33.203,980.469
1714719738.322,-62.500,-39.551,-37.109,-233.887
1714719738.326,-1000.000,-41.504,-40.527,-1000.000
1714719738.328,-952.637,-35.645,-40.527,-948.730
1714719738.332,-991.211,-31.250,-40.527,-997.559
1714719738.336,-1000.000,-28.809,-38.086,-1000.000
1714719738.340,-930.664,-34.180,-42.480,-932.617
1714719738.344,-1000.000,-37.109,-46.387,-1000.000
1714719738.348,-344.727,-21.973,-42.480,-324.219
1714719738.352,992.676,-14.160,-30.762,998.535
1714719738.355,973.145,-32.227,-28.320,971.191
1714719738.359,931.152,-41.992,-35.645,933.594
1714719738.363,979.004,-35.645,-36.621,980.469
1714719738.367,968.750,-32.227,-38.574,964.355
1714719738.371,906.250,-26.367,-36.621,915.527
1714719738.374,-893.555,-22.949,-33.203,-905.273
1714719738.378,179.199,-47.363,-40.039,105.469
1714719738.382,-1000.000,-58.105,-47.363,-1000.000
1714719738.386,-982.910,-37.598,-39.062,-974.121
1714719738.390,-974.121,-32.715,-32.227,-979.004
1714719738.394,-1000.000,-39.062,-37.109,-1000.000
1714719738.398,-966.309,-54.199,-42.480,-956.543
1714719738.401,-1000.000,-57.129,-35.156,-1000.000
1714719738.405,-1000.000,-32.227,-31.738,-888.184
1714719738.409,276.367,-11.230,-33.203,432.617
1714719738.413,-901.855,-17.090,-32.715,-926.270
1714719738.417,905.273,-25.879,-39.062,909.668
1714719738.419,971.680,-25.391,-40.527,975.098
1714719738.423,983.887,-30.273,-34.668,981.445
1714719738.427,898.438,-38.086,-34.668,902.832
1714719738.431,-927.734,-32.715,-37.598,-924.316
1714719738.435,620.117,-42.969,-35.156,549.805
1714719738.439,-821.777,-58.105,-32.715,-847.168
1714719738.443,-1000.000,-49.316,-30.273,-1000.000
1714719738.446,-940.918,-53.223,-36.133,-947.266
1714719738.450,-1000.000,-42.969,-42.480,-1000.000
1714719738.454,-1000.000,-31.250,-40.527,-996.094
1714719738.458,-937.500,-27.344,-36.133,-946.289
1714719738.462,-1000.000,-27.832,-38.086,-1000.000
1714719738.464,-220.215,-19.531,-41.504,-141.113
1714719738.468,-960.449,-12.695,-36.133,-945.801
1714719738.472,952.148,-30.273,-29.785,943.848
1714719738.476,940.918,-28.809,-26.855,947.266
1714719738.480,979.492,-27.832,-25.391,981.445
1714719738.484,948.730,-26.855,-23.926,939.941
1714719738.488,938.477,-35.645,-24.902,966.309
1714719738.491,-938.477,-46.875,-29.297,974.121
1714719738.495,-115.234,-65.430,-37.109,-253.906
1714719738.499,-1000.000,-63.965,-44.922,-1000.000
