timestamps,TP9,AF7,AF8,TP10,Right AUX
1714918397.999,-6.836,-12.207,-33.691,117.188,83
1714918398.003,-12.695,-18.555,-37.109,121.582,-8
1714918398.007,-19.531,-24.902,-67.383,125.0,-83
1714918398.011,4.395,-14.16,-64.941,137.207,22
1714918398.015,-1.953,7.324,-4.883,154.785,78
1714918398.019,-33.691,-7.812,-16.113,144.531,-17
1714918398.023,-27.344,-28.809,-40.039,132.812,-98
1714918398.026,-21.484,-27.832,-29.297,145.02,43
1714918398.03,-19.043,-34.668,-16.602,147.461,7
1714918398.034,-4.395,-18.066,-15.137,131.836,4
1714918398.038,1.465,-3.418,-10.254,132.324,-64
1714918398.042,0.0,-23.438,-14.648,137.695,-40
1714918398.044,15.137,-32.227,-32.227,143.555,83
1714918398.048,29.297,-30.762,-47.852,168.945,84
1714918398.052,22.461,-19.531,-32.715,181.152,48
1714918398.056,16.113,-9.766,-24.902,207.031,-16
1714918398.06,11.23,-5.859,-41.016,229.004,-60
1714918398.064,6.836,-17.09,-38.574,222.168,-53
1714918398.068,-4.883,-40.527,-32.227,231.934,22
1714918398.071,-7.324,-27.832,-30.762,229.004,-74
1714918398.075,-6.348,-21.484,-25.879,231.934,-14
1714918398.079,-11.23,-36.621,-46.387,224.609,50
1714918398.083,3.906,-22.461,-44.434,229.492,-45
1714918398.087,-6.348,-32.715,-9.766,291.016,64
1714918398.09,1.465,-24.902,-4.883,407.715,-23
1714918398.094,13.672,-8.789,-20.996,463.379,5
1714918398.098,-6.836,-21.973,-22.949,438.477,79
1714918398.102,-7.812,-24.902,-20.02,410.156,89
1714918398.106,4.883,-29.297,-28.32,413.086,14
1714918398.11,3.418,-30.273,-38.574,399.414,66
1714918398.114,-9.277,-8.301,-37.598,374.023,74
1714918398.117,-8.301,-15.625,-39.062,352.539,39
1714918398.121,0.977,-34.18,-33.203,337.402,-3
1714918398.125,-15.625,-40.527,-14.648,310.059,-38
1714918398.129,-22.949,-30.273,-8.301,272.461,91
1714918398.133,2.93,-7.812,-15.137,265.137,-91
1714918398.134,2.441,-18.066,-30.273,242.188,-63
1714918398.138,-19.043,-27.344,-48.34,230.469,-52
1714918398.142,-20.996,-30.762,-55.664,229.004,8
1714918398.146,-11.23,-30.762,-49.316,191.406,-62
1714918398.15,-2.441,-15.625,-41.504,188.965,11
1714918398.154,1.953,-13.672,-31.25,193.848,82
1714918398.158,1.953,-20.996,-20.02,187.012,-86
1714918398.161,-12.207,-40.527,-18.555,185.059,-16
1714918398.165,-16.602,-45.41,-30.273,170.898,3
1714918398.169,-13.672,-25.391,-40.039,159.668,-21
1714918398.173,-13.184,-12.207,-44.434,140.137,37
1714918398.177,-2.93,-20.02,-48.828,142.09,-58
1714918398.179,8.789,-26.367,-25.879,146.973,-60
1714918398.183,1.953,-30.273,-18.066,121.582,83
1714918398.187,-8.301,-23.438,-20.02,103.027,25
1714918398.191,-7.812,-17.578,-8.789,99.121,-55
1714918398.195,-10.254,-19.043,-14.16,87.891,72
1714918398.199,-7.812,-29.785,-19.531,95.215,-88
1714918398.203,-15.625,-36.621,-25.879,92.285,-18
1714918398.206,-13.672,-21.484,-41.016,86.426,56
1714918398.21,-2.93,-16.113,-39.062,67.383,-1
1714918398.214,1.465,-17.578,-31.738,59.57,35
1714918398.218,4.395,-18.555,-50.781,68.359,-28
1714918398.222,-19.531,-28.32,-56.641,39.062,-16
1714918398.224,-26.855,-17.578,-25.879,20.508,30
1714918398.228,-15.625,-11.23,-17.09,30.762,50
1714918398.232,-19.531,-20.02,-18.555,19.531,44
1714918398.236,-8.301,-23.438,-26.367,15.625,-83
1714918398.24,3.906,-27.344,-28.809,17.578,94
1714918398.244,6.836,-22.461,-17.09,19.531,8
1714918398.248,0.977,-14.16,-51.27,22.949,-67
1714918398.251,-29.297,-46.875,-89.355,4.883,-45
1714918398.255,-28.32,-48.828,-46.387,10.254,84
1714918398.259,-23.438,-40.527,-14.648,5.371,27
1714918398.263,-23.926,-38.086,-15.137,3.906,-100
1714918398.267,8.789,-15.625,-14.16,33.203,68
1714918398.269,7.324,-30.762,-7.324,24.902,-38
1714918398.273,-22.949,-41.992,-15.625,-9.766,-57
1714918398.277,-15.137,-30.762,-35.645,-3.906,-31
1714918398.281,-32.227,-48.828,-29.297,16.602,0
1714918398.285,-41.992,-28.32,-26.855,22.461,-80
1714918398.289,-33.691,-8.789,-43.945,17.09,-84
1714918398.293,-46.875,-54.199,-59.082,7.324,22
1714918398.296,-38.086,-75.195,-45.898,4.395,35
1714918398.3,-36.621,-56.641,-30.762,24.414,-8
1714918398.304,-45.41,-37.109,-65.43,42.48,32
1714918398.308,-53.223,-39.551,-69.336,31.738,-70
1714918398.312,-65.918,-56.152,-19.043,14.16,13
1714918398.314,-65.43,-62.5,-2.441,16.602,-73
1714918398.318,-53.223,-74.707,-25.391,12.695,-66
1714918398.322,-44.922,-57.617,-20.508,27.344,-9
1714918398.326,-54.199,-52.734,-16.113,41.992,30
1714918398.33,-44.434,-58.105,-9.277,44.922,67
1714918398.334,-43.945,-53.711,-29.785,41.016,-48
1714918398.338,-37.598,-65.918,-96.191,37.598,62
1714918398.341,-20.02,-37.598,-61.035,39.062,11
1714918398.345,-30.762,-29.297,10.254,35.645,-70
1714918398.349,-35.645,-49.805,14.648,22.949,32
1714918398.353,-33.691,-54.688,-2.441,24.902,26
1714918398.357,-34.18,-56.152,-18.555,22.949,2
1714918398.374,-35.645,-30.273,-28.32,20.508,-45
1714918398.378,-31.738,-12.695,-16.113,24.902,-56
1714918398.382,-27.344,-22.461,-9.766,7.324,-37
1714918398.386,-13.672,-25.879,-18.555,-11.719,-54
1714918398.39,-0.488,-24.902,-19.043,-17.09,75
1714918398.394,-23.438,-20.508,-49.805,-17.578,51
1714918398.398,-30.273,-12.207,-46.387,-10.742,-60
1714918398.401,-10.742,-21.973,-11.719,-10.742,15
1714918398.405,-14.16,-37.598,-8.301,-33.691,-25
1714918398.409,-51.27,-58.594,-34.668,-72.266,-62
1714918398.413,-40.039,-39.062,-48.34,-61.523,15
1714918398.417,-9.277,-11.23,-38.574,-36.621,41
1714918398.419,-16.602,-33.203,-31.738,-57.617,49
1714918398.423,-29.297,-53.711,-30.273,-83.496,0
1714918398.427,-38.574,-57.129,-36.621,-122.07,31
1714918398.431,-37.598,-38.086,-39.062,-147.461,24
1714918398.435,-27.832,-15.625,-25.391,-128.906,10
1714918398.439,-26.855,-21.973,-14.648,-109.375,-44
1714918398.443,-30.762,-33.691,-14.648,-114.746,70
1714918398.446,-41.504,-42.969,-26.367,-149.902,6
1714918398.45,-43.457,-37.598,-29.297,-158.203,65
1714918398.454,-43.945,-24.414,-42.48,-149.414,-79
1714918398.458,-41.016,-12.695,-37.598,-141.113,-44
1714918398.462,-24.414,-4.883,-30.273,-102.539,40
1714918398.464,-29.785,-18.555,-62.012,-84.961,84
1714918398.468,-43.457,-28.32,-50.293,-98.633,-66
1714918398.472,-56.641,-11.719,-4.395,-88.379,-69
1714918398.476,-52.246,-13.184,5.371,-67.871,-26
1714918398.48,-61.523,-22.461,-13.672,-87.402,54
1714918398.484,-69.824,-18.555,-33.203,-85.938,-90
1714918398.488,-69.336,-22.461,-61.035,-54.199,-67
1714918398.491,-64.453,-15.625,-65.43,-62.5,80
1714918398.495,-75.195,-31.738,-40.527,-86.914,-85
1714918398.499,-85.938,-33.691,-30.762,-70.801,62
1714918398.503,-55.176,-22.461,-28.809,-53.223,-12
1714918398.507,-47.363,-28.809,-55.176,-42.969,-78
1714918398.509,-47.852,-13.184,-69.824,-40.039,-61
1714918398.513,-62.5,-17.578,-24.414,-52.734,-11
1714918398.517,-74.707,-38.086,-1.465,-61.035,-3
1714918398.521,-75.684,-35.156,-9.766,-52.734,-70
1714918398.525,-77.637,-37.598,-18.066,-78.125,70
1714918398.529,-54.688,-25.391,-17.578,-66.406,8
1714918398.533,-50.293,-8.789,-20.508,-25.879,46
1714918398.536,-60.059,-26.855,-27.832,-32.715,63
1714918398.54,-66.895,-39.551,-41.016,-46.387,49
1714918398.544,-43.945,-39.551,-47.852,-46.875,-90
1714918398.548,-28.809,-38.086,-43.945,-28.809,14
1714918398.552,-12.207,-35.645,-55.176,-15.137,47
1714918398.554,2.93,-36.133,-68.848,-7.812,-4
1714918398.558,-17.578,-47.363,-44.434,-19.531,-60
1714918398.562,-29.785,-61.035,-24.414,-60.547,60
1714918398.566,-29.785,-47.852,-23.438,-55.664,47
1714918398.57,-46.875,-36.133,-41.504,-50.781,-80
1714918398.574,-42.969,-39.551,-43.457,-25.391,-17
1714918398.578,-49.316,-51.758,-20.02,-17.09,26
1714918398.581,-58.594,-69.824,-34.18,-19.531,78
1714918398.585,-49.805,-68.359,-45.898,-43.945,-44
1714918398.589,-57.129,-62.988,-23.438,-54.199,-6
1714918398.593,-56.152,-73.73,-12.207,-15.137,32
1714918398.597,-48.34,-71.777,-18.555,-7.812,82
1714918398.599,-42.969,-68.359,-50.293,0.977,25
1714918398.603,-32.227,-56.152,-54.688,15.137,-90
1714918398.607,-7.324,-54.199,-26.855,-0.977,-5
1714918398.611,-13.184,-72.266,-28.32,-0.977,-98
1714918398.615,-38.574,-59.082,-53.711,30.273,-98
1714918398.619,-21.484,-50.293,-52.734,20.02,97
1714918398.623,-6.836,-41.504,-32.227,20.996,65
1714918398.626,-25.391,-23.438,-26.367,59.082,-98
1714918398.63,-29.785,-26.367,-10.254,54.688,6
1714918398.634,-25.391,-39.551,-13.672,85.938,24
1714918398.638,-41.016,-58.594,-31.25,122.07,27
1714918398.642,-36.133,-55.176,-29.297,85.938,-79
1714918398.644,-17.09,-30.762,-24.902,95.703,80
1714918398.648,-19.043,-41.992,-50.293,88.867,-52
1714918398.652,-39.551,-50.293,-49.316,48.34,-15
1714918398.656,-45.898,-52.246,-35.156,40.039,51
1714918398.66,-30.762,-46.875,-33.203,45.898,89
1714918398.664,-35.645,-26.367,-15.137,31.25,-77
1714918398.668,-30.762,-21.973,-4.395,19.531,-87
1714918398.671,-11.719,-37.109,-18.066,29.785,-39
1714918398.675,-25.391,-54.199,-40.527,-20.508,-10
1714918398.679,-21.484,-63.477,-57.129,-38.574,33
1714918398.683,-21.973,-56.641,-58.594,-2.93,38
1714918398.687,-16.602,-51.758,-39.551,-30.273,-52
1714918398.689,-6.348,-66.406,-31.25,-47.852,49
1714918398.693,-5.859,-80.078,-49.316,-31.25,-60
1714918398.697,-10.254,-73.73,-52.734,-32.227,-65
1714918398.701,2.441,-47.852,-39.062,-29.297,91
1714918398.705,9.277,-53.223,-48.828,-39.551,-99
1714918398.709,16.113,-57.129,-50.781,-50.781,57
1714918398.713,34.668,-41.504,-31.25,-44.434,53
1714918398.716,27.832,-70.801,-31.25,-85.449,-24
1714918398.72,29.297,-72.754,-29.785,-125.0,-78
1714918398.724,27.344,-56.641,-36.621,-127.441,-34
1714918398.728,36.621,-57.129,-49.316,-143.555,-26
1714918398.732,8.789,-62.5,-42.48,-163.574,41
